Country,Year,Power,Industry,R&C,Transport,Others,Total Domestic Demand,Pipeline Exports,LNG Supply,Marketed Production,Pipeline Imports,LNG Demand,LNG Demand Converted,Region
Argentina,2046,2025.4777175602985,1050.231983852169,1448.1989341432948,267.32862457304236,672.4594619113609,5463.696722040166,132.54902836945885,960.6575342465753,6557.2182266694,0.0,0.0,0.0,LATAM
Argentina,2047,2045.7324947359016,1037.629200045943,1430.8205469335753,251.8235643478059,672.4594619113609,5438.465267974587,129.27638119845787,960.6575342465753,6528.705980502095,0.0,0.0,0.0,LATAM
Argentina,2048,2066.189819683261,1025.1776496453917,1413.6507003703723,237.21779761563315,672.4594619113609,5414.69542922602,126.08453597400914,960.6575342465753,6501.736444564463,0.0,0.0,0.0,LATAM
Argentina,2049,2086.8517178800935,1012.875517849647,1396.6868919659278,223.4591653539264,672.4594619113609,5392.332754960957,122.971497688944,960.6575342465753,6476.253160941045,0.0,0.0,0.0,LATAM
Argentina,2050,2107.7202350588946,1000.7210116354513,1379.9266492623367,210.49853376339865,672.4594619113609,5371.325891631443,119.93532059299628,960.6575342465753,6452.202818780666,0.0,0.0,0.0,LATAM
Brazil,2010,659.0509999999999,1249.9729999999997,50.12599999999999,194.14999999999998,126.374,2279.6739999999995,0.0,0.0,1026.723455616438,949.9229999999999,303.0275443835617,2.271151,LATAM
Brazil,2011,474.07899999999995,1442.0049999999999,24.004,190.62,112.25399999999998,2242.9619999999995,0.0,0.0,1167.1649323287668,972.1619999999999,103.63506767123289,0.776731,LATAM
Brazil,2012,829.9029999999999,1475.5399999999997,57.892,187.44299999999998,106.95899999999999,2657.736999999999,0.0,28.231363387978142,1333.5110161202176,973.2209999999999,379.23634726775964,2.8501130000000003,LATAM
Brazil,2013,1217.85,1467.4209999999998,61.77499999999999,180.736,90.368,3018.1499999999996,0.0,0.0,1350.9991586301367,1126.423,540.7278413698631,4.052683,LATAM
Brazil,2014,1454.0069999999998,1509.0749999999998,61.422,174.73499999999999,96.72199999999998,3295.9609999999993,0.0,2.7885753424657533,1381.22794219178,1165.253,752.268633150685,5.48368305479452,LATAM
